"id_grid","lat","lon"
867050,0.352786266646106,-76.8600199332029
146163,0.352868941746993,-76.5728711150261
439766,0.352871382004098,-76.5638966592963
117722,0.361785029736462,-76.9676858514487
337518,0.36181637776216,-76.8689950138748
554200,0.361821961479402,-76.8510503198644
994977,0.361901439063392,-76.5818480065061
694865,0.361908945504048,-76.5549246127577
918977,0.370814115153319,-76.9766602752935
161448,0.370820056524662,-76.9587172453014
113841,0.370831829781837,-76.9228303329722
429541,0.370849215623013,-76.8689978596531
246900,0.370852081374419,-76.8600255383356
557799,0.370857785237367,-76.8420806888526
864988,0.37093638492276,-76.581850565542
311394,0.370944077196967,-76.554927144711
829139,0.379843047143746,-76.9856347168882
512950,0.379846103596419,-76.9766633004504
819291,0.379852188877972,-76.9587202516395
268082,0.379861246512178,-76.9318051459532
430348,0.379867237948577,-76.913861389466
233199,0.37988205323224,-76.8690007746199
361180,0.379887913918857,-76.8510560442829
965470,0.379971330664621,-76.5818531862466
487624,0.37997920882559,-76.5549297378421
989477,0.388874963278557,-76.9856378229348
270388,0.388878091933796,-76.976666396743
966872,0.388884320809892,-76.9587233296249
254931,0.388893592340909,-76.9318081957
159948,0.388899725368364,-76.9138644201638
309060,0.388914890858439,-76.8690037583466
659100,0.388920889819763,-76.8510590094736
512337,0.389006276190187,-76.5818558686266
999356,0.389014340448333,-76.5549323921939
341398,0.397903668338527,-76.9946123649622
555154,0.397910080090951,-76.9766695650185
232799,0.397913271181195,-76.9676980576672
157830,0.39791962426088,-76.9497548283987
859382,0.397922786101588,-76.9407831075556
746753,0.397929080414033,-76.9228394534201
222379,0.397944644438113,-76.8779790921259
575685,0.397953865489589,-76.8510620429148
427089,0.398043981369445,-76.5728841731603
492775,0.398046731199613,-76.5639096716634
127601,0.40693879473416,-76.9856442505506
643051,0.406948584115883,-76.9587296988622
428006,0.406951827510639,-76.9497580388627
448524,0.406955060670382,-76.9407863080731
879736,0.406961496678223,-76.9228426344169
394590,0.406977412203234,-76.8779822233966
805067,0.40698056503974,-76.8690099331661
690965,0.406989963887465,-76.8420926481564
262979,0.415980715684721,-76.9587329904487
724013,0.415984030512262,-76.9497613202863
542478,0.415990629196478,-76.9318177677133
900629,0.416013401942402,-76.8690131236361
723268,0.416023008120115,-76.8420958083967
848247,0.425009450168019,-76.9677079618697
836263,0.425016232939055,-76.9497646726265
226105,0.42504952018546,-76.8600440034593
690559,0.425052791177601,-76.8510715547537
775204,0.434044977660302,-76.9587397865141
758240,0.434055319233729,-76.9318245015521
904043,0.434062159923484,-76.9138806257012
457144,0.434065564463748,-76.9049085819994
609577,0.44307710833262,-76.9587432915363
286881,0.443080637707672,-76.949771590031
654585,0.443084156232601,-76.9407998177153
947883,0.443087663640514,-76.9318279745168
538219,0.443091160415552,-76.9228560605259
688260,0.443101584958605,-76.8959398985094
613118,0.452105626642694,-76.9677185091415
890208,0.452120008068632,-76.9318315177394
613344,0.45212357558933,-76.9228595930516
193706,0.452130677366166,-76.9049155331508
153964,0.461141368733465,-76.9587505151202
813368,0.461145041411861,-76.9497787912388
482139,0.461148702296383,-76.9408069968822
797441,0.461152352164019,-76.9318351317429
919707,0.46115961762233,-76.9138911894904
500158,0.605730699299032,-76.8152592444472
902802,0.614637815875434,-77.0485389327917
798517,0.614759280800434,-76.8242368516555
982824,0.614768589065703,-76.8062908069393
189074,0.623664083390949,-77.0575151803366
677357,0.623669212730575,-77.0485440132254
475294,0.623674326746678,-77.0395727726689
795278,0.623792455419737,-76.8242415533879
812011,0.62379718542248,-76.8152685495364
925377,0.623801900171202,-76.8062954782655
110391,0.6326901872065,-77.0664914579178
834357,0.632695405916402,-77.0575203493642
909864,0.632700609275716,-77.0485491670275
899268,0.632705797076529,-77.0395779108902
817191,0.63271096913968,-77.030606581862
688628,0.632716125783653,-77.0216351800216
799682,0.63272126681407,-77.01266370526
477862,0.632726392253567,-77.0036921579059
957639,0.632820815871665,-76.8332192744634
558812,0.632830427857422,-76.8152733035776
189796,0.632835210587922,-76.806300216925
739014,0.641721435208932,-77.0664967164195
674136,0.641726728177334,-77.0575255917028
149059,0.641732005621564,-77.0485543939999
764169,0.641737267175541,-77.039583122689
